Colombia,Position,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
David Ospina,Goalkeeper,Nice,Nice,Nice,Nice,Nice,Nice,Nice,Atletico Nacional,Atletico Nacional,Atletico Nacional,,,,,,,,,,,,,,,
Cristian Zapata,Defender,Milan,Milan,Milan,Villarreal,Udinese,Udinese,Udinese,Udinese,Udinese,Udinese,Deportivo Cali,,,,,,,,,,,,,,
Mario Yepes,Defender,Atalanta,Atalanta,Milan,Milan,Milan,Chievo,Chievo,PSG,PSG,PSG,PSG,Nantes,Nantes,River Plate,River Plate,River Plate,Deportivo Cali,Deportivo Cali,Cortulua,Cortulua,Cortulua,,,,
Santiago Arias,Defender,PSV,PSV,Sporting CP,Sporting CP,La Equidad,La Equidad,,,,,,,,,,,,,,,,,,,
Carlos Carbonero,Midfielder,River Plate,River Plate,Arsenal de Sarandi,Once Caldas,Atletico Huila,Atletico Huila,Academia,,,,,,,,,,,,,,,,,,
Carlos Sanchez,Midfielder,Elche,Elche,Valenciennes,Valenciennes,Valenciennes,Valenciennes,Valenciennes,Valenciennes,River Plate,River Plate,Danubio,Danubio,,,,,,,,,,,,,
Pablo Armero,Defender,West Ham,Napoli,Udinese,Udinese,Udinese,Palmeiras,America de Cali,,,,,,,,,,,,,,,,,,
Abel Aguilar,Midfielder,Toulouse,Toulouse,Deportivo La Coruna,Hercules,Hercules,Zaragoza,Hercules,Xerez,Udinese,Ascoli,Deportivo Cali,Deportivo Cali,Deportivo Cali,,,,,,,,,,,,
Teofilo Gutierrez,Forward,River Plate,River Plate,Cruz Azul/ Atletico Junior,Racing Club,Trabzonspor,Atletico Junior,Atletico Junior,Atletico Junior,Barranquilla,,,,,,,,,,,,,,,,
James Rodriguez,Midfielder,Monaco,Monaco,Porto,Porto,Porto,Banfield,Banfield,Envigado,Envigado,Envigado,,,,,,,,,,,,,,,
Juan Guillermo Cuadrado,Midfielder,Fiorentina,Fiorentina,Fiorentina,Lecce,Udinese,Udinese,Independiente Medellin,Independiente Medellin,Independiente Medellin,Independiente Medellin,Independiente Medellin,Independiente Medellin,,,,,,,,,,,,,
Camilo Vargas,Goalkeeper,Santa Fe,Santa Fe,Santa Fe,Santa Fe,Santa Fe,Santa Fe,,,,,,,,,,,,,,,,,,,
Fredy Guarin,Midfielder,Inter Milan,Inter Milan,Inter Milan,Porto,Porto,Porto,Porto,Saint-Etienne,Saint-Etienne,Boca Juniors,Envigado,Envigado,Atletico Huila,,,,,,,,,,,,
Victor Ibarbo,Forward,Cagliari,Cagliari,Cagliari,Cagliari,Atletico Nacional,Atletico Nacional,Atletico Nacional,Club La Cantera,Club La Cantera,Club La Cantera,Club La Cantera,Club La Cantera,Club La Cantera,Club La Cantera,,,,,,,,,,,
Alexander Mejia,Midfielder,Atletico Nacional,Atletico Nacional,Atletico Nacional,Once Caldas,Deportes Quindio,Deportes Quindio,Deportes Quindio,Deportes Quindio,Deportes Quindio,Deportes Quindio,,,,,,,,,,,,,,,
Eder Balanta,Defender,River Plate,River Plate,River Plate,River Plate,Academia,,,,,,,,,,,,,,,,,,,,
Carlos Bacca,Forward,Sevilla,Sevilla,Club Brugge,Club Brugge,Atletico Junior,Atletico Junior,Baranquilla/ Minerven,Minerven/ Baranquilla,,,,,,,,,,,,,,,,,
Juan Zuniga,Defender,Napoli,Napoli,Napoli,Napoli,Napoli,Napoli,Siena,Atletico Nacional,Atletico Nacional,Atletico Nacional,Atletico Nacional,Atletico Nacional,Atletico Nacional,,,,,,,,,,,,
Adrian Ramos,Forward,Hertha BSC,Hertha BSC,Hertha BSC,Hertha BSC,Hertha BSC,Hertha BSC,America de Cali,Santa Fe,America de Cali,Trujillanos,America de Cali,,,,,,,,,,,,,,
Juan Fernando Quintero,Midfielder,Santa Fe,Independiente,Deportes Quindio,Deportes Quindio,Cortulua,,,,,,,,,,,,,,,,,,,,
Jackson Martinez,Forward,Porto,Porto,Porto,Chiapas,Chiapas,Chiapas,Independiente Medellin,Independiente Medellin,Independiente Medellin,Independiente Medellin,Independiente Medellin,,,,,,,,,,,,,,
Faryd Mondragon,Goalkeeper,Deportivo Cali,Deportivo Cali,Deportivo Cali,Philadelphia Union,FC Koln,FC Koln,FC Koln,FC Koln,Galatasaray,Galatasaray,Galatasaray,Galatasaray,Galatasaray,Galatasaray,Metz,Independiente,Real Zaragoza,Independiente,Independiente,Santa Fe,Independiente,,,,
Carlos Valdes,Defender,San Lorenzo,Santa Fe,Philadelphia Union,Philadelphia Union,Santa Fe,Santa Fe,America de Cali,America de Cali,America de Cali,Real Caratgena,,,,,,,,,,,,,,,
